playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
kinerra01,Ralph Kiner,1954,147,557,88,159,36,5,22,73.0,76,0.0,2.0,5.0
bankser01,Ernie Banks,1954,154,593,70,163,19,7,19,79.0,40,0.0,7.0,5.0
ashburi01,Richie Ashburn,1954,153,559,111,175,16,8,1,41.0,125,0.0,4.0,14.0
mantlmi01,Mickey Mantle,1954,146,543,129,163,17,12,27,102.0,102,0.0,0.0,2.0
willite01,Ted Williams,1954,117,386,93,133,23,1,29,89.0,136,0.0,1.0,0.0
schoere01,Red Schoendienst,1954,148,610,98,192,38,8,5,79.0,54,0.0,1.0,5.0
rizzuph01,Phil Rizzuto,1955,81,143,19,37,4,1,1,9.0,22,1.0,3.0,13.0
schoere01,Red Schoendienst,1955,145,553,68,148,21,3,11,51.0,54,5.0,4.0,0.0
reesepe01,Pee Wee Reese,1955,145,553,99,156,29,4,10,61.0,78,1.0,3.0,13.0
irvinmo01,Monte Irvin,1955,51,150,16,38,7,1,1,17.0,17,0.0,3.0,1.0
snidedu01,Duke Snider,1955,148,538,126,166,34,6,42,136.0,104,19.0,1.0,4.0
killeha01,Harmon Killebrew,1955,38,80,12,16,1,0,4,7.0,9,0.0,0.0,0.0
ashburi01,Richie Ashburn,1955,140,533,91,180,32,9,3,42.0,105,5.0,3.0,2.0
musiast01,Stan Musial,1955,154,562,97,179,30,5,33,108.0,80,19.0,8.0,2.0
bankser01,Ernie Banks,1955,154,596,98,176,29,9,44,117.0,45,6.0,2.0,0.0
mayswi01,Willie Mays,1955,152,580,123,185,18,13,51,127.0,79,13.0,4.0,0.0
foxne01,Nellie Fox,1955,154,636,100,198,28,7,6,59.0,38,1.0,17.0,14.0
kalinal01,Al Kaline,1955,152,588,121,200,24,8,27,102.0,82,12.0,5.0,0.0
dobyla01,Larry Doby,1955,131,491,91,143,17,5,26,75.0,61,8.0,2.0,2.0
matheed01,Eddie Mathews,1955,141,499,108,144,23,5,41,101.0,109,20.0,1.0,1.0
clemero01,Roberto Clemente,1955,124,474,48,121,23,11,5,47.0,18,3.0,2.0,4.0
robinja02,Jackie Robinson,1955,105,317,51,81,6,2,8,36.0,61,5.0,3.0,6.0
mantlmi01,Mickey Mantle,1955,147,517,121,158,25,11,37,99.0,113,6.0,3.0,2.0
kinerra01,Ralph Kiner,1955,113,321,56,78,13,0,18,54.0,65,1.0,0.0,0.0
lemonbo01,Bob Lemon,1955,49,78,11,19,0,0,1,9.0,13,0.0,0.0,6.0
berrayo01,Yogi Berra,1955,147,541,84,147,20,3,27,108.0,60,6.0,7.0,2.0
kellge01,George Kell,1955,128,429,44,134,24,1,8,81.0,51,2.0,6.0,13.0
willite01,Ted Williams,1955,98,320,77,114,21,3,28,83.0,91,17.0,2.0,0.0
robinbr01,Brooks Robinson,1955,6,22,0,2,0,0,0,1.0,0,0.0,0.0,0.0
slaugen01,Enos Slaughter,1955,108,267,49,86,12,4,5,34.0,40,4.0,2.0,1.0
slaugen01,Enos Slaughter,1955,10,9,1,1,0,0,0,1.0,1,0.0,0.0,0.0
camparo01,Roy Campanella,1955,123,446,81,142,20,1,32,107.0,56,9.0,6.0,5.0
aaronha01,Hank Aaron,1955,153,602,105,189,37,9,27,106.0,49,5.0,3.0,7.0
slaugen01,Enos Slaughter,1956,91,223,37,62,14,3,2,23.0,29,1.0,1.0,1.0
slaugen01,Enos Slaughter,1956,24,83,15,24,4,2,0,4.0,5,0.0,0.0,1.0
reesepe01,Pee Wee Reese,1956,147,572,85,147,19,2,9,46.0,56,1.0,1.0,15.0
robinja02,Jackie Robinson,1956,117,357,61,98,15,2,10,43.0,60,2.0,3.0,9.0
mazerbi01,Bill Mazeroski,1956,81,255,30,62,8,1,3,14.0,18,1.0,0.0,4.0
kellge01,George Kell,1956,21,80,7,25,5,0,1,11.0,8,0.0,0.0,2.0
lemonbo01,Bob Lemon,1956,43,93,8,18,0,0,5,12.0,9,0.0,1.0,7.0
snidedu01,Duke Snider,1956,151,542,112,158,33,2,43,101.0,99,26.0,1.0,6.0
kellge01,George Kell,1956,102,345,45,90,17,2,8,37.0,25,3.0,3.0,12.0
rizzuph01,Phil Rizzuto,1956,31,52,6,12,0,0,0,6.0,6,0.0,0.0,7.0
foxne01,Nellie Fox,1956,154,649,109,192,20,10,4,52.0,44,1.0,10.0,13.0
matheed01,Eddie Mathews,1956,151,552,103,150,21,2,37,95.0,91,17.0,1.0,3.0
camparo01,Roy Campanella,1956,124,388,39,85,6,1,20,73.0,66,15.0,1.0,4.0
