playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP
davisge01,George Davis,1893,133,549,112,195,22,27,11,119.0,42,0.0,9.0
keelewi01,Willie Keeler,1893,20,80,14,25,1,1,1,9.0,4,0.0,1.0
burkeje01,Jesse Burkett,1893,125,511,145,178,25,15,6,82.0,98,0.0,7.0
keefeti01,Tim Keefe,1893,22,79,10,18,4,0,0,6.0,9,0.0,0.0
nichoki01,Kid Nichols,1893,53,177,25,39,3,2,2,26.0,15,0.0,1.0
kellyki01,King Kelly,1893,20,67,9,18,1,0,0,15.0,6,0.0,0.0
wardjo01,John Ward,1893,135,588,129,193,27,9,2,77.0,47,0.0,1.0
thompsa01,Sam Thompson,1893,131,600,130,222,37,13,11,126.0,50,0.0,6.0
mccarto01,Tommy McCarthy,1893,116,462,107,160,28,6,5,111.0,64,0.0,3.0
broutda01,Dan Brouthers,1893,77,282,57,95,21,11,2,59.0,52,0.0,6.0
keelewi01,Willie Keeler,1893,7,24,5,8,2,1,1,7.0,5,0.0,0.0
jennihu01,Hughie Jennings,1893,23,88,6,12,3,0,0,9.0,3,0.0,1.0
delahed01,Ed Delahanty,1893,132,595,145,219,35,18,19,146.0,47,0.0,10.0
kellejo01,Joe Kelley,1893,125,502,120,153,27,16,9,76.0,77,0.0,4.0
hamilbi01,Billy Hamilton,1893,82,355,110,135,22,7,5,44.0,63,0.0,13.0
clarkjo01,John Clarkson,1893,37,131,18,27,6,2,1,17.0,4,0.0,0.0
becklja01,Jake Beckley,1894,132,537,123,185,36,19,7,122.0,43,0.0,19.0
hamilbi01,Billy Hamilton,1894,132,558,198,225,25,15,4,90.0,128,0.0,9.0
ewingbu01,Buck Ewing,1894,53,211,32,53,12,4,2,39.0,24,0.0,0.0
burkeje01,Jesse Burkett,1894,125,523,138,187,27,14,8,94.0,84,0.0,1.0
duffyhu01,Hugh Duffy,1894,125,539,160,237,51,16,18,145.0,66,0.0,1.0
youngcy01,Cy Young,1894,52,186,24,40,8,4,2,26.0,2,0.0,0.0
wardjo01,John Ward,1894,138,549,102,146,12,5,0,79.0,35,0.0,1.0
clarkfr01,Fred Clarke,1894,76,314,55,86,11,7,7,48.0,26,0.0,4.0
